2012,Played Date,Matches,Place,Man of the Match,Result
2012,"May 27, 2012",Chennai Super Kings 190-3 Vs Kolkata Knight Riders 192-5,"MA Chidambaram Stadium, Chepauk, Chennai, India",M Bisla,Kolkata Knight Riders won by 5 wickets
2012,"May 25, 2012",Chennai Super Kings 222-5 Vs Delhi Daredevils 136-10,"MA Chidambaram Stadium, Chepauk, Chennai, India",M Vijay,Chennai Super Kings won by 86 runs
2012,"May 23, 2012",Chennai Super Kings 187-5 Vs Mumbai Indians 149-9,"M Chinnaswamy Stadium, Bangalore, India",MS Dhoni,Chennai Super Kings won by 38 runs
2012,"May 22, 2012",Kolkata Knight Riders 162-4 Vs Delhi Daredevils 144-8,"Subrata Roy Sahara Stadium, Gahunje, India",YK Pathan,Kolkata Knight Riders won by 18 runs
2012,"May 20, 2012",Deccan Chargers 132-7 Vs Royal Challengers Bangalore 123-9,"Rajiv Gandhi International Stadium, Uppal, Hyderabad, India",DW Steyn,Deccan Chargers won by 9 runs
2012,"May 20, 2012",Rajasthan Royals 162-6 Vs Mumbai Indians 1630,"Sawai Mansingh Stadium, Jaipur, India",DR Smith,Mumbai Indians won by 10 wickets
2012,"May 19, 2012",Kolkata Knight Riders 136-4 Vs Pune Warriors 102-8,"Subrata Roy Sahara Stadium, Gahunje, India",Shakib Al Hasan,Kolkata Knight Riders won by 34 runs
2012,"May 19, 2012",Kings XI Punjab 141-8 Vs Delhi Daredevils 145-4,"Himachal Pradesh Cricket Association Stadium, Dharmasala, India",UT Yadav,Delhi Daredevils won by 6 wickets
2012,"May 18, 2012",Rajasthan Royals 126-8 Vs Deccan Chargers 128-5,"Rajiv Gandhi International Stadium, Uppal, Hyderabad, India",DW Steyn,Deccan Chargers won by 5 wickets
2012,"May 17, 2012",Chennai Super Kings 120-7 Vs Kings XI Punjab 123-4,"Himachal Pradesh Cricket Association Stadium, Dharmasala, India",AC Gilchrist,Kings XI Punjab won by 6 wickets
2012,"May 17, 2012",Royal Challengers Bangalore 215-1 Vs Delhi Daredevils 194-9,"Feroz Shah Kotla, Delhi, India",CH Gayle,Royal Challengers Bangalore won by 21 runs
2012,"May 16, 2012",Kolkata Knight Riders 140-7 Vs Mumbai Indians 108-10,"Wankhede Stadium, Mumbai, India",SP Narine,Kolkata Knight Riders won by 32 runs
2012,"May 15, 2012",Kings XI Punjab 136-8 Vs Delhi Daredevils 140-5,"Feroz Shah Kotla, Delhi, India",UT Yadav,Delhi Daredevils won by 5 wickets
2012,"May 14, 2012",Kolkata Knight Riders 158-6 Vs Chennai Super Kings 160-5,"Eden Gardens, Kolkata, India",MEK Hussey,Chennai Super Kings won by 5 wickets
2012,"May 14, 2012",Royal Challengers Bangalore 171-6 Vs Mumbai Indians 173-5,"M Chinnaswamy Stadium, Bangalore, India",AT Rayudu,Mumbai Indians won by 5 wickets
2012,"May 13, 2012",Deccan Chargers 190-4 Vs Kings XI Punjab 194-6,"Punjab Cricket Association Stadium, Mohali, India",DJ Hussey,Kings XI Punjab won by 4 wickets
2012,"May 13, 2012",Rajasthan Royals 170-4 Vs Pune Warriors 125-9,"Sawai Mansingh Stadium, Jaipur, India",A Chandila,Rajasthan Royals won by 45 runs
2012,"May 12, 2012",Mumbai Indians 182-1 Vs Kolkata Knight Riders 155-4,"Eden Gardens, Kolkata, India",RG Sharma,Mumbai Indians won by 27 runs
