Round Number,Date,Location,Home Team,Away Team,Group,Result
Week 1,05/04/2017 20:00,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,,
Week 1,06/04/2017 20:00,Pune,Rising Pune Supergiant,Mumbai Indians,,
Week 1,07/04/2017 20:00,Rajkot,Gujarat Lions,Kolkata Knight Riders,,
Week 1,08/04/2017 16:00,Indore,Kings XI Punjab,Rising Pune Supergiant,,
Week 1,08/04/2017 20:00,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,,
Week 1,09/04/2017 16:00,Hyderabad,Sunrisers Hyderabad,Gujarat Lions,,
Week 1,09/04/2017 20:00,Mumbai,Mumbai Indians,Kolkata Knight Riders,,
Week 1,10/04/2017 20:00,Indore,Kings XI Punjab,Royal Challengers Bangalore,,
Week 1,11/04/2017 20:00,Pune,Rising Pune Supergiant,Delhi Daredevils,,
Week 2,12/04/2017 20:00,Mumbai,Mumbai Indians,Sunrisers Hyderabad,,
Week 2,13/04/2017 20:00,Kolkata,Kolkata Knight Riders,Kings XI Punjab,,
Week 2,14/04/2017 16:00,Bengaluru,Royal Challengers Bangalore,Mumbai Indians,,
Week 2,14/04/2017 20:00,Rajkot,Gujarat Lions,Rising Pune Supergiant,,
Week 2,15/04/2017 16:00,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,,
Week 2,15/04/2017 20:00,Delhi,Delhi Daredevils,Kings XI Punjab,,
Week 2,16/04/2017 16:00,Mumbai,Mumbai Indians,Gujarat Lions,,
Week 2,16/04/2017 20:00,Bengaluru,Royal Challengers Bangalore,Rising Pune Supergiant,,
Week 2,17/04/2017 16:00,Delhi,Delhi Daredevils,Kolkata Knight Riders,,
Week 2,17/04/2017 20:00,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,,
Week 2,18/04/2017 20:00,Rajkot,Gujarat Lions,Royal Challengers Bangalore,,
Week 3,19/04/2017 20:00,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,,
Week 3,20/04/2017 20:00,Indore,Kings XI Punjab,Mumbai Indians,,
Week 3,21/04/2017 20:00,Kolkata,Kolkata Knight Riders,Gujarat Lions,,
Week 3,22/04/2017 16:00,Delhi,Delhi Daredevils,Mumbai Indians,,
Week 3,22/04/2017 20:00,Pune,Rising Pune Supergiant,Sunrisers Hyderabad,,
Week 3,23/04/2017 16:00,Rajkot,Gujarat Lions,Kings XI Punjab,,
Week 3,23/04/2017 20:00,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,,
Week 3,24/04/2017 20:00,Mumbai,Mumbai Indians,Rising Pune Supergiant,,
Week 3,25/04/2017 20:00,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,,
Week 4,26/04/2017 20:00,Pune,Rising Pune Supergiant,Kolkata Knight Riders,,
Week 4,27/04/2017 20:00,Bengaluru,Royal Challengers Bangalore,Gujarat Lions,,
Week 4,28/04/2017 16:00,Kolkata,Kolkata Knight Riders,Delhi Daredevils,,
Week 4,28/04/2017 20:00,Mohali,Kings XI Punjab,Sunrisers Hyderabad,,
Week 4,29/04/2017 16:00,Pune,Rising Pune Supergiant,Royal Challengers Bangalore,,
Week 4,29/04/2017 20:00,Rajkot,Gujarat Lions,Mumbai Indians,,
Week 4,30/04/2017 16:00,Mohali,Kings XI Punjab,Delhi Daredevils,,
Week 4,30/04/2017 20:00,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,,
Week 4,01/05/2017 16:00,Mumbai,Mumbai Indians,Royal Challengers Bangalore,,
Week 4,01/05/2017 20:00,Pune,Rising Pune Supergiant,Gujarat Lions,,
Week 4,02/05/2017 20:00,Delhi,Delhi Daredevils,Sunrisers Hyderabad,,
Week 5,03/05/2017 20:00,Kolkata,Kolkata Knight Riders,Rising Pune Supergiant,,
Week 5,04/05/2017 20:00,Delhi,Delhi Daredevils,Gujarat Lions,,
Week 5,05/05/2017 20:00,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,,
Week 5,06/05/2017 16:00,Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,,
Week 5,06/05/2017 20:00,Mumbai,Mumbai Indians,Delhi Daredevils,,
Week 5,07/05/2017 16:00,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,,
Week 5,07/05/2017 20:00,Mohali,Kings XI Punjab,Gujarat Lions,,
Week 5,08/05/2017 20:00,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,,
Week 5,09/05/2017 20:00,Mohali,Kings XI Punjab,Kolkata Knight Riders,,
Week 6,10/05/2017 20:00,Kanpur,Gujarat Lions,Delhi Daredevils,,
Week 6,11/05/2017 20:00,Mumbai,Mumbai Indians,Kings XI Punjab,,
Week 6,12/05/2017 20:00,Delhi,Delhi Daredevils,Rising Pune Supergiant,,
Week 6,13/05/2017 16:00,Kanpur,Gujarat Lions,Sunrisers Hyderabad,,
Week 6,13/05/2017 20:00,Kolkata,Kolkata Knight Riders,Mumbai Indians,,
Week 6,14/05/2017 16:00,Pune,Rising Pune Supergiant,Kings XI Punjab,,
Week 6,14/05/2017 20:00,Delhi,Delhi Daredevils,Royal Challengers Bangalore,,
Preliminary Finals,16/05/2017 20:00,Mumbai,Mumbai Indians,Rising Pune Supergiant,Qualifier 1,
Preliminary Finals,17/05/2017 20:00,Bengaluru,Sunrisers Hyderabad,Kolkata Knight Riders,Eliminator,
Qualifier 2,19/05/2017 20:00,Bengaluru,Mumbai Indians,Kolkata Knight Riders,,
Final,21/05/2017 20:00,Hyderabad,Rising Pune Supergiant,Mumbai Indians,,
