Round Number,Date,Location,Home Team,Away Team,Group,Result
Week 1,09/04/2016 20:00,Mumbai,Mumbai Indians,Rising Pune Supergiants,,
Week 1,10/04/2016 20:00,Kolkata,Kolkata Knight Riders,Delhi Daredevils,,
Week 1,11/04/2016 20:00,Mohali,Kings XI Punjab,Gujarat Lions,,
Week 1,12/04/2016 20:00,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,,
Week 1,13/04/2016 20:00,Kolkata,Kolkata Knight Riders,Mumbai Indians,,
Week 1,14/04/2016 20:00,Rajkot,Gujarat Lions,Rising Pune Supergiants,,
Week 1,15/04/2016 20:00,Delhi,Delhi Daredevils,Kings XI Punjab,,
Week 1,16/04/2016 16:00,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,,
Week 1,16/04/2016 20:00,Mumbai,Mumbai Indians,Gujarat Lions,,
Week 2,17/04/2016 16:00,Mohali,Kings XI Punjab,Rising Pune Supergiants,,
Week 2,17/04/2016 20:00,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,,
Week 2,18/04/2016 20:00,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,,
Week 2,19/04/2016 20:00,Mohali,Kings XI Punjab,Kolkata Knight Riders,,
Week 2,20/04/2016 20:00,Mumbai,Mumbai Indians,Royal Challengers Bangalore,,
Week 2,21/04/2016 20:00,Rajkot,Gujarat Lions,Sunrisers Hyderabad,,
Week 2,22/04/2016 20:00,Pune,Rising Pune Supergiants,Royal Challengers Bangalore,,
Week 2,23/04/2016 16:00,Delhi,Delhi Daredevils,Mumbai Indians,,
Week 2,23/04/2016 20:00,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,,
Week 3,24/04/2016 16:00,Rajkot,Gujarat Lions,Royal Challengers Bangalore,,
Week 3,24/04/2016 20:00,Pune,Rising Pune Supergiants,Kolkata Knight Riders,,
Week 3,25/04/2016 20:00,Mohali,Kings XI Punjab,Mumbai Indians,,
Week 3,26/04/2016 20:00,Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiants,,
Week 3,27/04/2016 20:00,Delhi,Delhi Daredevils,Gujarat Lions,,
