Round Number,Date,Location,Home Team,Away Team,Group,Result
1,23/03/2019 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Royal Challengers Bangalore,,
1,24/03/2019 16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,,
1,24/03/2019 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,,
1,25/03/2019 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kings XI Punjab,,
1,26/03/2019 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Capitals,Chennai Super Kings,,
1,27/03/2019 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Kings XI Punjab,,
1,28/03/2019 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Mumbai Indians,,
2,29/03/2019 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,,
2,30/03/2019 16:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Mumbai Indians,,
2,30/03/2019 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Capitals,Kolkata Knight Riders,,
2,31/03/2019 16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,,
2,31/03/2019 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Rajasthan Royals,,
2,01/04/2019 20:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Capitals,,
2,02/04/2019 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Royal Challengers Bangalore,,
2,03/04/2019 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,,
2,04/04/2019 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Capitals,Sunrisers Hyderabad,,
3,05/04/2019 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kolkata Knight Riders,,
3,06/04/2019 16:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kings XI Punjab,,
3,06/04/2019 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,,
3,07/04/2019 16:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Delhi Capitals,,
3,07/04/2019 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,,
3,08/04/2019 20:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,,
3,09/04/2019 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,,
3,10/04/2019 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Kings XI Punjab,,
3,11/04/2019 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Chennai Super Kings,,
4,12/04/2019 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Capitals,,
4,13/04/2019 16:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,,
4,13/04/2019 20:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,,
4,14/04/2019 16:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,,
4,14/04/2019 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,,
4,15/04/2019 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,,
4,16/04/2019 20:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,,
4,17/04/2019 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,,
4,18/04/2019 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Capitals,Mumbai Indians,,
5,19/04/2019 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,,
5,20/04/2019 16:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Mumbai Indians,,
5,20/04/2019 20:00,"Feroz Shah Kotla Ground, Delhi",Delhi Capitals,Kings XI Punjab,,
5,21/04/2019 16:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,,
5,21/04/2019 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Chennai Super Kings,,
5,22/04/2019 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,,
5,23/04/2019 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Sunrisers Hyderabad,,
5,24/04/2019 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Kings XI Punjab,,
5,25/04/2019 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,,
6,26/04/2019 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,,
6,27/04/2019 20:00,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,,
6,28/04/2019 16:00,"Feroz Shah Kotla Ground, Delhi",Delhi Capitals,Royal Challengers Bangalore,,
6,28/04/2019 20:00,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,,
6,29/04/2019 20:00,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,Kings XI Punjab,,
6,30/04/2019 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Rajasthan Royals,,
6,01/05/2019 20:00,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Capitals,,
6,02/05/2019 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,,
7,03/05/2019 20:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,,
7,04/05/2019 16:00,"Feroz Shah Kotla Ground, Delhi",Delhi Capitals,Rajasthan Royals,,
7,04/05/2019 20:00,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Sunrisers Hyderabad,,
7,05/05/2019 16:00,"IS Bindra Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,,
7,05/05/2019 20:00,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,,
Preliminary Finals,07/05/2019 19:30,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Chennai Super Kings,Qualifier 1,
Preliminary Finals,08/05/2019 19:30,"ACA-VDCA Stadium, Visakhapatnam",Delhi Capitals,Sunrisers Hyderabad,Eliminator,
Qualifier 2,10/05/2019 19:30,"ACA-VDCA Stadium, Visakhapatnam",Chennai Super Kings,Delhi Capitals,,
Final,12/05/2019 19:30,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Mumbai Indians,Chennai Super Kings,,
