Round Number,Date,Location,Home Team,Away Team,Group,Result
1,19/09/2020 19:30,,Mumbai Indians,Chennai Super Kings,,
1,20/09/2020 15:30,,Delhi Capitals,Kings XI Punjab,,
1,20/09/2020 19:30,,Royal Challengers Bangalore,Kolkata Knight Riders,,
1,21/09/2020 19:30,,Sunrisers Hyderabad,Mumbai Indians,,
1,22/09/2020 19:30,,Chennai Super Kings,Rajasthan Royals,,
1,23/09/2020 19:30,,Kolkata Knight Riders,Delhi Capitals,,
1,24/09/2020 19:30,,Kings XI Punjab,Sunrisers Hyderabad,,
1,25/09/2020 19:30,,Mumbai Indians,Royal Challengers Bangalore,,
2,26/09/2020 19:30,,Rajasthan Royals,Delhi Capitals,,
2,27/09/2020 15:30,,Kolkata Knight Riders,Chennai Super Kings,,
2,27/09/2020 19:30,,Royal Challengers Bangalore,Sunrisers Hyderabad,,
2,28/09/2020 19:30,,Kings XI Punjab,Mumbai Indians,,
2,29/09/2020 19:30,,Rajasthan Royals,Kolkata Knight Riders,,
2,30/09/2020 19:30,,Delhi Capitals,Royal Challengers Bangalore,,
2,01/10/2020 19:30,,Chennai Super Kings,Kings XI Punjab,,
2,02/10/2020 19:30,,Sunrisers Hyderabad,Rajasthan Royals,,
3,03/10/2020 19:30,,Kolkata Knight Riders,Mumbai Indians,,
3,04/10/2020 15:30,,Delhi Capitals,Chennai Super Kings,,
3,04/10/2020 19:30,,Kings XI Punjab,Royal Challengers Bangalore,,
3,05/10/2020 19:30,,Mumbai Indians,Rajasthan Royals,,
3,06/10/2020 19:30,,Sunrisers Hyderabad,Kolkata Knight Riders,,
3,07/10/2020 19:30,,Kings XI Punjab,Chennai Super Kings,,
3,08/10/2020 19:30,,Royal Challengers Bangalore,Rajasthan Royals,,
3,09/10/2020 19:30,,Delhi Capitals,Kolkata Knight Riders,,
4,10/10/2020 19:30,,Chennai Super Kings,Sunrisers Hyderabad,,
4,11/10/2020 15:30,,Mumbai Indians,Kings XI Punjab,,
4,11/10/2020 19:30,,Rajasthan Royals,Sunrisers Hyderabad,,
4,12/10/2020 19:30,,Royal Challengers Bangalore,Delhi Capitals,,
4,13/10/2020 19:30,,Kolkata Knight Riders,Kings XI Punjab,,
4,14/10/2020 19:30,,Chennai Super Kings,Mumbai Indians,,
4,15/10/2020 19:30,,Rajasthan Royals,Royal Challengers Bangalore,,
4,16/10/2020 19:30,,Kings XI Punjab,Kolkata Knight Riders,,
5,17/10/2020 19:30,,Sunrisers Hyderabad,Delhi Capitals,,
5,18/10/2020 15:30,,Chennai Super Kings,Royal Challengers Bangalore,,
5,18/10/2020 19:30,,Mumbai Indians,Kolkata Knight Riders,,
5,19/10/2020 19:30,,Rajasthan Royals,Kings XI Punjab,,
5,20/10/2020 19:30,,Sunrisers Hyderabad,Chennai Super Kings,,
5,21/10/2020 19:30,,Mumbai Indians,Delhi Capitals,,
5,22/10/2020 19:30,,Kolkata Knight Riders,Rajasthan Royals,,
5,23/10/2020 19:30,,Royal Challengers Bangalore,Kings XI Punjab,,
6,24/10/2020 19:30,,Delhi Capitals,Sunrisers Hyderabad,,
6,25/10/2020 15:30,,Rajasthan Royals,Chennai Super Kings,,
6,25/10/2020 19:30,,Sunrisers Hyderabad,Royal Challengers Bangalore,,
6,26/10/2020 19:30,,Delhi Capitals,Mumbai Indians,,
6,27/10/2020 19:30,,Chennai Super Kings,Kolkata Knight Riders,,
6,28/10/2020 19:30,,Kings XI Punjab,Rajasthan Royals,,
6,29/10/2020 19:30,,Mumbai Indians,Sunrisers Hyderabad,,
6,30/10/2020 19:30,,Chennai Super Kings,Delhi Capitals,,
7,31/10/2020 19:30,,Kolkata Knight Riders,Royal Challengers Bangalore,,
7,01/11/2020 15:30,,Rajasthan Royals,Mumbai Indians,,
7,01/11/2020 19:30,,Sunrisers Hyderabad,Kings XI Punjab,,
7,02/11/2020 19:30,,Delhi Capitals,Rajasthan Royals,,
7,03/11/2020 19:30,,Royal Challengers Bangalore,Chennai Super Kings,,
7,04/11/2020 19:30,,Kolkata Knight Riders,Sunrisers Hyderabad,,
7,05/11/2020 19:30,,Kings XI Punjab,Delhi Capitals,,
7,06/11/2020 19:30,,Royal Challengers Bangalore,Mumbai Indians,,
Preliminary Finals,07/11/2020 19:30,,To be announced,To be announced,Qualifier 1,
Preliminary Finals,08/11/2020 19:30,,To be announced,To be announced,Eliminator,
Qualifier 2,09/11/2020 19:30,,To be announced,To be announced,,
Final,10/11/2020 19:30,,To be announced,To be announced,,
