version,1.3.0
info,team,Lancashire
info,team,Derbyshire
info,gender,male
info,season,2015
info,date,2015/06/12
info,competition,NatWest T20 Blast
info,venue,Old Trafford
info,city,Manchester
info,toss_winner,Derbyshire
info,toss_decision,field
info,player_of_match,SJ Croft
info,umpire,RJ Evans
info,umpire,SJ O'Shaughnessy
info,winner,Lancashire
info,winner_runs,67
ball,1,9.5,Lancashire,JP Faulkner,SJ Croft,WJ Durston,1,0,"",""
ball,1,9.6,Lancashire,SJ Croft,JP Faulkner,WJ Durston,1,0,"",""
ball,1,10.1,Lancashire,SJ Croft,JP Faulkner,AP Palladino,2,0,"",""
ball,1,10.2,Lancashire,SJ Croft,JP Faulkner,AP Palladino,1,0,"",""
ball,1,10.3,Lancashire,JP Faulkner,SJ Croft,AP Palladino,1,0,"",""
ball,1,10.4,Lancashire,SJ Croft,JP Faulkner,AP Palladino,0,0,"",""
ball,1,10.5,Lancashire,SJ Croft,JP Faulkner,AP Palladino,0,0,"",""
ball,1,10.6,Lancashire,SJ Croft,JP Faulkner,AP Palladino,2,0,"",""
ball,1,11.1,Lancashire,JP Faulkner,SJ Croft,WJ Durston,1,0,"",""
ball,1,11.2,Lancashire,SJ Croft,JP Faulkner,WJ Durston,0,0,"",""
ball,1,11.3,Lancashire,SJ Croft,JP Faulkner,WJ Durston,2,0,"",""
ball,1,11.4,Lancashire,SJ Croft,JP Faulkner,WJ Durston,2,0,"",""
ball,1,11.5,Lancashire,SJ Croft,JP Faulkner,WJ Durston,1,0,"",""
ball,1,11.6,Lancashire,JP Faulkner,SJ Croft,WJ Durston,1,0,"",""
ball,1,12.1,Lancashire,JP Faulkner,SJ Croft,AP Palladino,6,0,"",""
ball,1,12.2,Lancashire,JP Faulkner,SJ Croft,AP Palladino,4,0,"",""
ball,1,12.3,Lancashire,JP Faulkner,SJ Croft,AP Palladino,1,0,"",""
ball,1,12.4,Lancashire,SJ Croft,JP Faulkner,AP Palladino,2,0,"",""
ball,1,12.5,Lancashire,SJ Croft,JP Faulkner,AP Palladino,4,0,"",""
ball,1,12.6,Lancashire,SJ Croft,JP Faulkner,AP Palladino,4,0,"",""
ball,1,13.1,Lancashire,JP Faulkner,SJ Croft,WA White,1,0,"",""
ball,1,13.2,Lancashire,SJ Croft,JP Faulkner,WA White,1,0,"",""
ball,1,13.3,Lancashire,JP Faulkner,SJ Croft,WA White,1,0,"",""
ball,1,13.4,Lancashire,SJ Croft,JP Faulkner,WA White,1,0,"",""
ball,1,13.5,Lancashire,JP Faulkner,SJ Croft,WA White,1,2,"",""
ball,1,13.6,Lancashire,SJ Croft,JP Faulkner,WA White,1,0,"",""
ball,1,13.7,Lancashire,JP Faulkner,SJ Croft,WA White,1,0,"",""
ball,1,14.1,Lancashire,JP Faulkner,SJ Croft,CF Hughes,2,0,"",""
ball,1,14.2,Lancashire,JP Faulkner,SJ Croft,CF Hughes,1,0,"",""
ball,1,14.3,Lancashire,SJ Croft,JP Faulkner,CF Hughes,4,0,"",""
ball,1,14.4,Lancashire,SJ Croft,JP Faulkner,CF Hughes,2,0,"",""
ball,1,14.5,Lancashire,SJ Croft,JP Faulkner,CF Hughes,6,0,"",""
ball,1,14.6,Lancashire,SJ Croft,JP Faulkner,CF Hughes,1,0,"",""
ball,1,15.1,Lancashire,SJ Croft,JP Faulkner,WA White,4,0,"",""
ball,1,15.2,Lancashire,SJ Croft,JP Faulkner,WA White,0,0,"",""
ball,1,15.3,Lancashire,SJ Croft,JP Faulkner,WA White,2,0,"",""
ball,1,15.4,Lancashire,SJ Croft,JP Faulkner,WA White,1,0,"",""
ball,1,15.5,Lancashire,JP Faulkner,SJ Croft,WA White,1,0,"",""
ball,1,15.6,Lancashire,SJ Croft,JP Faulkner,WA White,1,0,"",""
ball,1,16.1,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,6,0,"",""
ball,1,16.2,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,0,0,"",""
ball,1,16.3,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,0,0,"",""
ball,1,16.4,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,0,0,"",""
ball,1,16.5,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,4,0,"",""
ball,1,16.6,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,4,0,"",""
ball,1,17.1,Lancashire,JP Faulkner,SJ Croft,SJ Thakor,0,0,"",""
ball,1,17.2,Lancashire,JP Faulkner,SJ Croft,SJ Thakor,4,0,"",""
ball,1,17.3,Lancashire,JP Faulkner,SJ Croft,SJ Thakor,1,0,"",""
ball,1,17.4,Lancashire,SJ Croft,JP Faulkner,SJ Thakor,1,0,"",""
ball,1,17.5,Lancashire,JP Faulkner,SJ Croft,SJ Thakor,1,0,"",""
ball,1,17.6,Lancashire,SJ Croft,JP Faulkner,SJ Thakor,1,0,"",""
ball,1,18.1,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,4,0,"",""
ball,1,18.2,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,2,0,"",""
ball,1,18.3,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,0,1,"",""
ball,1,18.4,Lancashire,SJ Croft,JP Faulkner,NJ Rimmington,1,0,"",""
ball,1,18.5,Lancashire,JP Faulkner,SJ Croft,NJ Rimmington,6,0,"",""
ball,1,18.6,Lancashire,JP Faulkner,SJ Croft,NJ Rimmington,0,6,"",""
ball,1,18.7,Lancashire,JP Faulkner,SJ Croft,NJ Rimmington,0,1,"",""
ball,1,18.8,Lancashire,JP Faulkner,SJ Croft,NJ Rimmington,2,0,"",""
ball,1,18.9,Lancashire,JP Faulkner,SJ Croft,NJ Rimmington,6,0,"",""
ball,1,19.1,Lancashire,SJ Croft,JP Faulkner,WA White,0,5,"",""
ball,1,19.2,Lancashire,SJ Croft,JP Faulkner,WA White,0,0,"",""
ball,1,19.3,Lancashire,SJ Croft,JP Faulkner,WA White,2,0,"",""
ball,1,19.4,Lancashire,SJ Croft,JP Faulkner,WA White,2,0,"",""
ball,1,19.5,Lancashire,SJ Croft,JP Faulkner,WA White,4,0,"",""
