2010,Played Date,Matches,Place,Man of the Match,Result
2010,"Apr 25, 2010",Chennai Super Kings 168-5 Vs Mumbai Indians 146-9,"Dr DY Patil Sports Academy, Mumbai, India",SK Raina,Chennai Super Kings won by 22 runs
2010,"Apr 24, 2010",Deccan Chargers 82-10 Vs Royal Challengers Bangalore 86-1,"Dr DY Patil Sports Academy, Mumbai, India",A Kumble,Royal Challengers Bangalore won by 9 wickets
2010,"Apr 22, 2010",Chennai Super Kings 142-7 Vs Deccan Chargers 104-10,"Dr DY Patil Sports Academy, Mumbai, India",DE Bollinger,Chennai Super Kings won by 38 runs
2010,"Apr 21, 2010",Mumbai Indians 184-5 Vs Royal Challengers Bangalore 149-9,"Dr DY Patil Sports Academy, Mumbai, India",KA Pollard,Mumbai Indians won by 35 runs
2010,"Apr 19, 2010",Mumbai Indians 133-8 Vs Kolkata Knight Riders 135-1,"Eden Gardens, Kolkata, India",M Kartik,Kolkata Knight Riders won by 9 wickets
2010,"Apr 18, 2010",Kings XI Punjab 192-3 Vs Chennai Super Kings 195-4,"Himachal Pradesh Cricket Association Stadium, Dharmasala, India",MS Dhoni,Chennai Super Kings won by 6 wickets
2010,"Apr 18, 2010",Deccan Chargers 145-7 Vs Delhi Daredevils 134-7,"Feroz Shah Kotla, Delhi, India",A Symonds,Deccan Chargers won by 11 runs
2010,"Apr 17, 2010",Mumbai Indians 191-4 Vs Royal Challengers Bangalore 134-9,"M Chinnaswamy Stadium, Bangalore, India",R McLaren,Mumbai Indians won by 57 runs
2010,"Apr 17, 2010",Rajasthan Royals 132-9 Vs Kolkata Knight Riders 133-2,"Eden Gardens, Kolkata, India",JD Unadkat,Kolkata Knight Riders won by 8 wickets
2010,"Apr 16, 2010",Kings XI Punjab 174-3 Vs Deccan Chargers 178-5,"Himachal Pradesh Cricket Association Stadium, Dharmasala, India",RG Sharma,Deccan Chargers won by 5 wickets
2010,"Apr 15, 2010",Chennai Super Kings 112-9 Vs Delhi Daredevils 113-4,"MA Chidambaram Stadium, Chepauk, Chennai, India",G Gambhir,Delhi Daredevils won by 6 wickets
2010,"Apr 14, 2010",Rajasthan Royals 130-6 Vs Royal Challengers Bangalore 132-5,"Sawai Mansingh Stadium, Jaipur, India",KP Pietersen,Royal Challengers Bangalore won by 5 wickets
2010,"Apr 13, 2010",Mumbai Indians 183-4 Vs Delhi Daredevils 144-7,"Brabourne Stadium, Mumbai, India",KA Pollard,Mumbai Indians won by 39 runs
