2013,Played Date,Matches,Place,MoM,Result
2013,"May 03, 2013",Rajasthan Royals 132-6 Vs Kolkata Knight Riders 133-2,Kolkata,YK Pathan,Kolkata Knight Riders won by 8 wickets
2013,"May 02, 2013",Chennai Super Kings 186-4 Vs Kings XI Punjab 171-6,Chennai,SK Raina,Chennai Super Kings won by 15 runs
2013,"May 02, 2013",Royal Challengers Bangalore 187-3 Vs Pune Warriors 170-9,Gahunje,AB De Villiers,Royal Challengers Bangalore won by 17 runs
2013,"May 01, 2013",Kolkata Knight Riders 136-7 Vs Delhi Daredevils 137-3,Naya Raipur,DA Warner,Delhi Daredevils won by 7 wickets
2013,"May 01, 2013",Mumbai Indians 129-4 Vs Sunrisers 130-3,Hyderabad,I Sharma,Sunrisers won by 7 wickets
2013,"Apr 30, 2013",Chennai Super Kings 164-3 Vs Pune Warriors 127-9,Gahunje,MS Dhoni,Chennai Super Kings won by 37 runs
2013,"Apr 29, 2013",Mumbai Indians 174-3 Vs Kings XI Punjab 170-10,Mumbai,RG Sharma,Mumbai Indians won by 4 runs
2013,"Apr 29, 2013",Royal Challengers Bangalore 171-6 Vs Rajasthan Royals 173-6,Jaipur,SV Samson,Rajasthan Royals won by 4 wickets
2013,"Apr 28, 2013",Delhi Daredevils 164-5 Vs Pune Warriors 149-4,Naya Raipur,DA Warner,Delhi Daredevils won by 15 runs
2013,"Apr 28, 2013",Chennai Super Kings 200-3 Vs Kolkata Knight Riders 186-4,Chennai,MEK Hussey,Chennai Super Kings won by 14 runs
2013,"Apr 27, 2013",Mumbai Indians 194-7 Vs Royal Challengers Bangalore 136-7,Mumbai,DR Smith,Mumbai Indians won by 58 runs
2013,"Apr 27, 2013",Sunrisers 144-9 Vs Rajasthan Royals 146-2,Jaipur,JP Faulkner,Rajasthan Royals won by 8 wickets
2013,"Apr 26, 2013",Kings XI Punjab 149-6 Vs Kolkata Knight Riders 150-4,Kolkata,JH Kallis,Kolkata Knight Riders won by 6 wickets
2013,"Apr 25, 2013",Sunrisers 159-6 Vs Chennai Super Kings 160-5,Chennai,MS Dhoni,Chennai Super Kings won by 5 wickets
2013,"Apr 24, 2013",Kolkata Knight Riders 159-6 Vs Mumbai Indians 162-5,Kolkata,DR Smith,Mumbai Indians won by 5 wickets
2013,"Apr 23, 2013",Delhi Daredevils 120-7 Vs Kings XI Punjab 121-5,Delhi,HS Bansal,Kings XI Punjab won by 5 wickets
2013,"Apr 23, 2013",Royal Challengers Bangalore 263-5 Vs Pune Warriors 133-9,Bangalore,CH Gayle,Royal Challengers Bangalore won by 130 runs
2013,"Apr 22, 2013",Rajasthan Royals 185-4 Vs Chennai Super Kings 186-5,Chennai,MEK Hussey,Chennai Super Kings won by 5 wickets
2013,"Apr 21, 2013",Mumbai Indians 161-4 Vs Delhi Daredevils 165-1,Delhi,V Sehwag,Delhi Daredevils won by 9 wickets
2013,"Apr 21, 2013",Pune Warriors 185-4 Vs Kings XI Punjab 186-3,Mohali,DA Miller,Kings XI Punjab won by 7 wickets
2013,"Apr 20, 2013",Rajasthan Royals 117-10 Vs Royal Challengers Bangalore 123-3,Bangalore,R Vinay Kumar,Royal Challengers Bangalore won by 7 wickets
2013,"Apr 20, 2013",Kolkata Knight Riders 119-9 Vs Chennai Super Kings 124-6,Kolkata,RA Jadeja,Chennai Super Kings won by 4 wickets
2013,"Apr 19, 2013",Kings XI Punjab 123-9 Vs Sunrisers 127-5,Hyderabad,GH Vihari,Sunrisers won by 5 wickets
2013,"Apr 18, 2013",Chennai Super Kings 169-4 Vs Delhi Daredevils 83-10,Delhi,MEK Hussey,Chennai Super Kings won by 86 runs
2013,"Apr 17, 2013",Rajasthan Royals 179-3 Vs Mumbai Indians 92-10,Jaipur,AM Rahane,Rajasthan Royals won by 87 runs
2013,"Apr 17, 2013",Sunrisers 119-8 Vs Pune Warriors 108-10,Gahunje,A Mishra,Sunrisers won by 11 runs
2013,"Apr 16, 2013",Kings XI Punjab 157-9 Vs Kolkata Knight Riders 153-9,Mohali,MS Gony,Kings XI Punjab won by 4 runs
2013,"Apr 16, 2013",Delhi Daredevils 152-5 Vs Royal Challengers Bangalore 152-7,Bangalore,V Kohli,"Match Tied, Royal Challengers Bangalore won in Super Over"
2013,"Apr 15, 2013",Pune Warriors 159-5 Vs Chennai Super Kings 135-8,Chennai,SPD Smith,Pune Warriors won by 24 runs
2013,"Apr 14, 2013",Kings XI Punjab 124-10 Vs Rajasthan Royals 126-4,Jaipur,JP Faulkner,Rajasthan Royals won by 6 wickets
2013,"Apr 14, 2013",Kolkata Knight Riders 180-4 Vs Sunrisers 132-7,Kolkata,G Gambhir,Kolkata Knight Riders won by 48 runs
2013,"Apr 13, 2013",Royal Challengers Bangalore 165-6 Vs Chennai Super Kings 166-6,Chennai,RA Jadeja,Chennai Super Kings won by 4 wickets
2013,"Apr 13, 2013",Mumbai Indians 183-3 Vs Pune Warriors 142-8,Mumbai,RG Sharma,Mumbai Indians won by 41 runs
2013,"Apr 12, 2013",Delhi Daredevils 114-8 Vs Sunrisers 115-7,Delhi,A Mishra,Sunrisers won by 3 wickets
2013,"Apr 11, 2013",Rajasthan Royals 145-5 Vs Pune Warriors 148-3,Gahunje,AJ Finch,Pune Warriors won by 7 wickets
2013,"Apr 11, 2013",Kolkata Knight Riders 154-8 Vs Royal Challengers Bangalore 158-2,Bangalore,CH Gayle,Royal Challengers Bangalore won by 8 wickets
2013,"Apr 10, 2013",Kings XI Punjab 138-10 Vs Chennai Super Kings 1390,Mohali,MEK Hussey,Chennai Super Kings won by 10 wickets
2013,"Apr 09, 2013",Sunrisers 161-6 Vs Royal Challengers Bangalore 162-3,Bangalore,V Kohli,Royal Challengers Bangalore won by 7 wickets
2013,"Apr 09, 2013",Mumbai Indians 209-5 Vs Delhi Daredevils 165-9,Mumbai,KD Karthik,Mumbai Indians won by 44 runs
2013,"Apr 08, 2013",Rajasthan Royals 144-6 Vs Kolkata Knight Riders 125-10,Jaipur,SK Trivedi,Rajasthan Royals won by 19 runs
2013,"Apr 07, 2013",Royal Challengers Bangalore 130-8 Vs Sunrisers 130-7,Hyderabad,GH Vihari,"Match Tied, Sunrisers won in Super Over"
2013,"Apr 07, 2013",Pune Warriors 99-9 Vs Kings XI Punjab 100-2,Gahunje,M Vohra,Kings XI Punjab won by 8 wickets
2013,"Apr 06, 2013",Rajasthan Royals 165-7 Vs Delhi Daredevils 160-6,Delhi,RS Dravid,Rajasthan Royals won by 5 runs
2013,"Apr 06, 2013",Mumbai Indians 148-6 Vs Chennai Super Kings 139-9,Chennai,KA Pollard,Mumbai Indians won by 9 runs
2013,"Apr 05, 2013",Sunrisers 126-6 Vs Pune Warriors 104-10,Hyderabad,A Mishra,Sunrisers won by 22 runs
2013,"Apr 04, 2013",Royal Challengers Bangalore 156-5 Vs Mumbai Indians 154-5,Bangalore,CH Gayle,Royal Challengers Bangalore won by 2 runs
2013,"Apr 03, 2013",Delhi Daredevils 128-10 Vs Kolkata Knight Riders 129-4,Kolkata,SP Narine,Kolkata Knight Riders won by 6 wickets
