2013,Played Date,Matches,Place,MoM,Result
2013,"May 26, 2013",Mumbai Indians 148-9 Vs Chennai Super Kings 125-9,Kolkata,KA Pollard,Mumbai Indians won by 23 runs
2013,"May 24, 2013",Rajasthan Royals 165-6 Vs Mumbai Indians 169-6,Kolkata,Harbhajan Singh,Mumbai Indians won by 4 wickets
2013,"May 22, 2013",Sunrisers 132-7 Vs Rajasthan Royals 135-6,Delhi,BJ Hodge,Rajasthan Royals won by 4 wickets
2013,"May 21, 2013",Chennai Super Kings 192-1 Vs Mumbai Indians 144-10,Delhi,MEK Hussey,Chennai Super Kings won by 48 runs
2013,"May 19, 2013",Pune Warriors 172-5 Vs Delhi Daredevils 134-9,Gahunje,LJ Wright,Pune Warriors won by 38 runs
2013,"May 19, 2013",Kolkata Knight Riders 130-7 Vs Sunrisers 132-5,Hyderabad,PA Patel,Sunrisers won by 5 wickets
2013,"May 18, 2013",Royal Challengers Bangalore 106-2 Vs Chennai Super Kings 82-6,Bangalore,V Kohli,Royal Challengers Bangalore won by 24 runs
2013,"May 18, 2013",Kings XI Punjab 183-8 Vs Mumbai Indians 133-9,Dharamsala,Azhar Mahmood,Kings XI Punjab won by 50 runs
2013,"May 17, 2013",Sunrisers 136-9 Vs Rajasthan Royals 113-9,Hyderabad,A Mishra,Sunrisers won by 23 runs
2013,"May 16, 2013",Kings XI Punjab 171-4 Vs Delhi Daredevils 164-7,Dharamsala,DA Miller,Kings XI Punjab won by 7 runs
2013,"May 15, 2013",Mumbai Indians 166-8 Vs Rajasthan Royals 152-7,Mumbai,AP Tare,Mumbai Indians won by 14 runs
2013,"May 15, 2013",Pune Warriors 170-4 Vs Kolkata Knight Riders 163-7,Ranchi,MK Pandey,Pune Warriors won by 7 runs
2013,"May 14, 2013",Royal Challengers Bangalore 174-5 Vs Kings XI Punjab 176-3,Bangalore,AC Gilchrist,Kings XI Punjab won by 7 wickets
2013,"May 14, 2013",Chennai Super Kings 168-4 Vs Delhi Daredevils 135-9,Chennai,MS Dhoni,Chennai Super Kings won by 33 runs
2013,"May 13, 2013",Sunrisers 178-3 Vs Mumbai Indians 184-3,Mumbai,KA Pollard,Mumbai Indians won by 7 wickets
2013,"May 12, 2013",Chennai Super Kings 141-4 Vs Rajasthan Royals 144-5,Jaipur,SR Watson,Rajasthan Royals won by 5 wickets
2013,"May 12, 2013",Royal Challengers Bangalore 115-9 Vs Kolkata Knight Riders 116-5,Ranchi,JH Kallis,Kolkata Knight Riders won by 5 wickets
2013,"May 11, 2013",Sunrisers 150-7 Vs Kings XI Punjab 120-9,Mohali,PA Patel,Sunrisers won by 30 runs
2013,"May 11, 2013",Pune Warriors 112-8 Vs Mumbai Indians 116-5,Gahunje,MG Johnson,Mumbai Indians won by 5 wickets
2013,"May 10, 2013",Royal Challengers Bangalore 183-4 Vs Delhi Daredevils 179-7,Delhi,JD Unadkat,Royal Challengers Bangalore won by 4 runs
2013,"May 09, 2013",Kings XI Punjab 145-6 Vs Rajasthan Royals 147-2,Mohali,K Cooper,Rajasthan Royals won by 8 wickets
2013,"May 09, 2013",Kolkata Knight Riders 152-6 Vs Pune Warriors 106-10,Gahunje,G Gambhir,Kolkata Knight Riders won by 46 runs
2013,"May 08, 2013",Chennai Super Kings 223-3 Vs Sunrisers 146-8,Hyderabad,SK Raina,Chennai Super Kings won by 77 runs
2013,"May 07, 2013",Mumbai Indians 170-6 Vs Kolkata Knight Riders 105-10,Mumbai,SR Tendulkar,Mumbai Indians won by 65 runs
2013,"May 07, 2013",Delhi Daredevils 154-4 Vs Rajasthan Royals 155-1,Jaipur,AM Rahane,Rajasthan Royals won by 9 wickets
2013,"May 06, 2013",Royal Challengers Bangalore 190-3 Vs Kings XI Punjab 194-4,Mohali,DA Miller,Kings XI Punjab won by 6 wickets
2013,"May 05, 2013",Mumbai Indians 139-5 Vs Chennai Super Kings 79-10,Mumbai,MG Johnson,Mumbai Indians won by 60 runs
2013,"May 05, 2013",Pune Warriors 178-4 Vs Rajasthan Royals 182-5,Jaipur,AM Rahane,Rajasthan Royals won by 5 wickets
2013,"May 04, 2013",Delhi Daredevils 80-10 Vs Sunrisers 81-4,Hyderabad,DJG Sammy,Sunrisers won by 6 wickets
